year,team,team_code,shirt_number,player,position,position_group,rating,is_legend
1954,Yugoslavia,yug,13,Zeković,Centre-back,Defence,73,false
1954,Yugoslavia,yug,16,Milovanov,Centre-back,Defence,72,false
1954,Yugoslavia,yug,17,Belin,Centre-back,Defence,72,false
1954,Yugoslavia,yug,10,Bobek,Attacking midfielder,Midfield,88,true
1954,Yugoslavia,yug,9,Vukas,Attacking midfielder,Midfield,87,true
1954,Yugoslavia,yug,8,Mitić,Attacking midfielder,Midfield,85,true
1954,Yugoslavia,yug,4,Čajkovski,Right midfielder,Midfield,84,true
1954,Yugoslavia,yug,6,Boškov,Right midfielder,Midfield,80,true
1954,Yugoslavia,yug,15,Spajić,Defensive midfielder,Midfield,74,false
1954,Yugoslavia,yug,14,Mantula,Right midfielder,Midfield,72,false
1954,Yugoslavia,yug,19,Papec,Attacking midfielder,Midfield,71,false
1954,Yugoslavia,yug,11,Zebec,Left winger,Attack,83,true
1954,Yugoslavia,yug,18,Milutinović,Centre-forward,Attack,79,false
1954,Yugoslavia,yug,7,Ognjanov,Right winger,Attack,76,false
1954,Yugoslavia,yug,21,Veselinović,Centre-forward,Attack,76,false
1954,Yugoslavia,yug,20,Dvornić,Left winger,Attack,71,false
1954,Yugoslavia,yug,22,Petaković,Centre-forward,Attack,70,false
1954,England,eng,1,Merrick,Goalkeeper,Goalkeepers,75,false
1954,England,eng,12,Burgin,Goalkeeper,Goalkeepers,70,false
1954,England,eng,3,Byrne,Left-back,Defence,80,true
1954,England,eng,2,Staniforth,Right-back,Defence,74,false
1954,England,eng,18,Chilton,Centre-back,Defence,72,false
1954,England,eng,13,Green,Right-back,Defence,70,false
1954,England,eng,4,Wright,Defensive midfielder,Midfield,88,true
1954,England,eng,6,Dickinson,Defensive midfielder,Midfield,80,false
1954,England,eng,21,Haynes,Midfielder,Midfield,80,true
1954,England,eng,8,Broadis,Midfielder,Midfield,78,false
1954,England,eng,5,Owen,Defensive midfielder,Midfield,73,false
1954,England,eng,14,McGarry,Defensive midfielder,Midfield,73,false
1954,England,eng,16,Quixall,Midfielder,Midfield,73,false
1954,England,eng,19,Armstrong,Right midfielder,Midfield,70,false
1954,England,eng,7,Matthews,Right winger,Attack,92,true
1954,England,eng,11,Finney,Left winger,Attack,91,true
1954,England,eng,9,Lofthouse,Centre-forward,Attack,85,true
1954,England,eng,10,Taylor,Centre-forward,Attack,82,true
1954,England,eng,17,Mullen,Left winger,Attack,76,false
1954,England,eng,15,Wilshaw,Centre-forward,Attack,75,false
1954,England,eng,20,Jezzard,Centre-forward,Attack,71,false
1954,England,eng,22,Hooper,Right winger,Attack,70,false
1954,France,fra,1,Remetter,Goalkeeper,Goalkeepers,78,false
1954,France,fra,2,Ruminski,Goalkeeper,Goalkeepers,74,false
1954,France,fra,3,Abbes,Goalkeeper,Goalkeepers,73,false
1954,France,fra,10,Jonquet,Centre-back,Defence,84,true
1954,France,fra,7,Marche,Left-back,Defence,83,true
1954,France,fra,6,Kaelbel,Centre-back,Defence,79,false
1954,France,fra,4,Gianessi,Centre-back,Defence,77,false
1954,France,fra,5,Grimonpon,Centre-back,Defence,73,false
1954,France,fra,18,Kopa,Attacking midfielder,Midfield,88,true
1954,France,fra,14,Penverne,Right midfielder,Midfield,81,false
1954,France,fra,12,Marcel,Right midfielder,Midfield,80,false
1954,France,fra,9,Cuissard,Right midfielder,Midfield,78,false
1954,France,fra,8,Bieganski,Defensive midfielder,Midfield,73,false
1954,France,fra,11,Xercès Louis,Right midfielder,Midfield,73,false
1954,France,fra,13,Mahjoub,Defensive midfielder,Midfield,73,false
1954,France,fra,15,Ben Tifour,Defensive midfielder,Midfield,73,false
1954,France,fra,19,Leblond,Defensive midfielder,Midfield,73,false
1954,France,fra,16,Dereuddre,Defensive midfielder,Midfield,72,false
1954,France,fra,22,Vincent,Left winger,Attack,84,true
1954,France,fra,21,Strappe,Left winger,Attack,79,false
1954,France,fra,17,Glovacki,Centre-forward,Attack,75,false
1954,France,fra,20,Schultz,Centre-forward,Attack,72,false
1954,Italy,ita,1,Ghezzi,Goalkeeper,Goalkeepers,84,false
1954,Italy,ita,22,Costagliola,Goalkeeper,Goalkeepers,74,false
1954,Italy,ita,12,Viola,Goalkeeper,Goalkeepers,73,false
1954,Italy,ita,14,Cervato,Left-back,Defence,80,false
1954,Italy,ita,13,Magnini,Right-back,Defence,77,false
1954,Italy,ita,2,Vincenzi,Left-back,Defence,75,false
1954,Italy,ita,3,Giacomazzi,Right-back,Defence,74,false
1954,Italy,ita,8,Pandolfini,Attacking midfielder,Midfield,80,false
1954,Italy,ita,4,Neri,Defensive midfielder,Midfield,78,false
1954,Italy,ita,16,Ferrario,Defensive midfielder,Midfield,78,false
1954,Italy,ita,5,Tognon,Right midfielder,Midfield,77,false
1954,Italy,ita,15,Mari,Right midfielder,Midfield,76,false
1954,Italy,ita,17,Segato,Attacking midfielder,Midfield,76,false
1954,Italy,ita,6,Nesti,Attacking midfielder,Midfield,74,false
1954,Italy,ita,20,Gratton,Defensive midfielder,Midfield,72,false
1954,Italy,ita,19,Boniperti,Centre-forward,Attack,84,true
1954,Italy,ita,11,Lorenzi,Centre-forward,Attack,81,false
1954,Italy,ita,10,Cappello,Right winger,Attack,79,false
1954,Italy,ita,18,Pivatelli,Centre-forward,Attack,77,false
1954,Italy,ita,7,Muccinelli,Right winger,Attack,76,false
1954,Italy,ita,9,Galli,Centre-forward,Attack,75,false
1954,Italy,ita,21,Frignani,Left winger,Attack,73,false
1954,Switzerland,sui,2,Parlier,Goalkeeper,Goalkeepers,79,false
1954,Switzerland,sui,1,Eich,Goalkeeper,Goalkeepers,74,false
1954,Switzerland,sui,3,Stuber,Goalkeeper,Goalkeepers,72,false
1954,Switzerland,sui,4,Bocquet,Centre-back,Defence,80,false
1954,Switzerland,sui,7,Neury,Right-back,Defence,77,false
1954,Switzerland,sui,14,Kernen,Left-back,Defence,77,false
1954,Switzerland,sui,5,Flückiger,Centre-back,Defence,74,false
1954,Switzerland,sui,6,Mathis,Centre-back,Defence,72,false
1954,Switzerland,sui,10,Eggimann,Defensive midfielder,Midfield,79,false
1954,Switzerland,sui,8,Bigler,Defensive midfielder,Midfield,76,false
1954,Switzerland,sui,9,Casali,Midfielder,Midfield,73,false
1954,Switzerland,sui,11,Eschmann,Midfielder,Midfield,73,false
1954,Switzerland,sui,12,Fesselet,Right midfielder,Midfield,71,false
1954,Switzerland,sui,13,Frosio,Midfielder,Midfield,70,false
1954,Switzerland,sui,18,Hügi,Centre-forward,Attack,84,true
1954,Switzerland,sui,15,Antenen,Right winger,Attack,82,false
1954,Switzerland,sui,17,Fatton,Left winger,Attack,82,false
1954,Switzerland,sui,16,Ballaman,Centre-forward,Attack,80,false
1954,Switzerland,sui,22,Vonlanthen,Right winger,Attack,78,false
1954,Switzerland,sui,19,Mauron,Centre-forward,Attack,73,false
1954,Switzerland,sui,20,Meier,Right winger,Attack,72,false
1954,Switzerland,sui,21,Riva,Centre-forward,Attack,71,false
1954,Scotland,sco,1,Martin,Goalkeeper,Goalkeepers,73,false
1954,Scotland,sco,14,Anderson,Goalkeeper,Goalkeepers,70,false
1954,Scotland,sco,4,Evans,Centre-back,Defence,84,true
1954,Scotland,sco,2,Cunningham,Right-back,Defence,74,false
1954,Scotland,sco,3,Aird,Left-back,Defence,72,false
1954,Scotland,sco,18,Wilson,Right-back,Defence,70,false
1954,Scotland,sco,5,Docherty,Defensive midfielder,Midfield,80,true
1954,Scotland,sco,15,Johnstone,Midfielder,Midfield,80,false
1954,Scotland,sco,12,Fernie,Midfielder,Midfield,78,false
1954,Scotland,sco,10,Brown,Midfielder,Midfield,77,false
1954,Scotland,sco,7,Cowie,Defensive midfielder,Midfield,76,false
1954,Scotland,sco,6,Davidson,Defensive midfielder,Midfield,72,false
1954,Scotland,sco,22,McMillan,Midfielder,Midfield,71,false
1954,Scotland,sco,17,Mathers,Defensive midfielder,Midfield,70,false
1954,Scotland,sco,20,Combe,Midfielder,Midfield,70,false
1954,Scotland,sco,13,Ormond,Left winger,Attack,75,false
1954,Scotland,sco,8,Mackenzie,Right winger,Attack,74,false
1954,Scotland,sco,9,Hamilton,Centre-forward,Attack,74,false
1954,Scotland,sco,11,Mochan,Left winger,Attack,74,false
1954,Scotland,sco,16,Henderson,Centre-forward,Attack,73,false
1954,Scotland,sco,19,Binning,Centre-forward,Attack,69,false
1954,Scotland,sco,21,Copland,Left winger,Attack,68,false
1954,Czechoslovakia,tch,22,Schrojf,Goalkeeper,Goalkeepers,78,true
1954,Czechoslovakia,tch,1,Reimann,Goalkeeper,Goalkeepers,73,false
1954,Czechoslovakia,tch,21,Stacho,Goalkeeper,Goalkeepers,73,false
1954,Czechoslovakia,tch,4,Novák,Left-back,Defence,81,true
1954,Czechoslovakia,tch,5,Trnka,Centre-back,Defence,77,false
1954,Czechoslovakia,tch,2,Šafránek,Right-back,Defence,74,false
1954,Czechoslovakia,tch,12,Krásnohorský,Centre-back,Defence,72,false
1954,Czechoslovakia,tch,3,Pluskal,Defensive midfielder,Midfield,80,true
1954,Czechoslovakia,tch,8,Hemele,Attacking midfielder,Midfield,74,false
1954,Czechoslovakia,tch,6,Benedikovič,Defensive midfielder,Midfield,73,false
1954,Czechoslovakia,tch,15,Kačáni,Attacking midfielder,Midfield,73,false
1954,Czechoslovakia,tch,13,Hledík,Defensive midfielder,Midfield,72,false
1954,Czechoslovakia,tch,14,Hertl,Attacking midfielder,Midfield,72,false
1954,Czechoslovakia,tch,16,Procházka,Defensive midfielder,Midfield,70,false
1954,Czechoslovakia,tch,10,Pažický,Centre-forward,Attack,76,false
1954,Czechoslovakia,tch,11,Pešek,Left winger,Attack,76,false
1954,Czechoslovakia,tch,7,Hlaváček,Right winger,Attack,75,false
1954,Czechoslovakia,tch,9,Malatinský,Centre-forward,Attack,74,false
1954,Czechoslovakia,tch,17,Kraus,Centre-forward,Attack,74,false
1954,Czechoslovakia,tch,18,Majer,Right winger,Attack,70,false
1954,Czechoslovakia,tch,19,Košnar,Left winger,Attack,70,false
1954,Czechoslovakia,tch,20,Gajdoš,Centre-forward,Attack,69,false
1954,Turkey,tur,1,Turgay,Goalkeeper,Goalkeepers,80,true
1954,Turkey,tur,12,Şükrü,Goalkeeper,Goalkeepers,72,false
1954,Turkey,tur,5,Bülent,Centre-back,Defence,82,false
1954,Turkey,tur,3,Basri,Left-back,Defence,80,false
1954,Turkey,tur,4,Ertan,Centre-back,Defence,74,false
1954,Turkey,tur,20,Kadri,Centre-back,Defence,74,false
1954,Turkey,tur,7,Rober,Left-back,Defence,73,false
1954,Turkey,tur,16,Naci,Centre-back,Defence,71,false
1954,Turkey,tur,2,Rıdvan,Centre-back,Defence,70,false
1954,Turkey,tur,15,Nedim,Centre-back,Defence,69,false
1954,Turkey,tur,9,Suat,Right-back,Defence,68,false
1954,Turkey,tur,18,Ahmet,Left-back,Defence,68,false
1954,Turkey,tur,6,Çetin,Midfielder,Midfield,72,false
1954,Turkey,tur,17,Akgün,Midfielder,Midfield,70,false
1954,Turkey,tur,14,Ali,Midfielder,Midfield,69,false
1954,Turkey,tur,13,Lefter,Left winger,Attack,88,true
1954,Turkey,tur,22,Metin Oktay,Centre-forward,Attack,88,true
1954,Turkey,tur,11,Burhan,Centre-forward,Attack,78,false
1954,Turkey,tur,21,Coşkun,Right winger,Attack,77,false
1954,Turkey,tur,8,Erol,Left winger,Attack,70,false
1954,Turkey,tur,19,Necmi,Centre-forward,Attack,68,false
1954,Turkey,tur,10,Feridun,Centre-forward,Attack,65,false
1958,Brazil,bra,3,Gilmar,Goalkeeper,Goalkeepers,88,true
1958,Brazil,bra,1,Castilho,Goalkeeper,Goalkeepers,79,false
1958,Brazil,bra,4,Djalma Santos,Right-back,Defence,89,true
1958,Brazil,bra,12,Nílton Santos,Left-back,Defence,89,true
1958,Brazil,bra,2,Bellini,Centre-back,Defence,84,true
1958,Brazil,bra,15,Orlando,Centre-back,Defence,83,false
1958,Brazil,bra,14,De Sordi,Right-back,Defence,81,false
1958,Brazil,bra,16,Mauro,Centre-back,Defence,81,true
1958,Brazil,bra,9,Zózimo,Centre-back,Defence,77,false
1958,Brazil,bra,8,Oreco,Left-back,Defence,75,false
1958,Brazil,bra,6,Didi,Midfielder,Midfield,93,true
1958,Brazil,bra,19,Zito,Defensive midfielder,Midfield,83,false
1958,Brazil,bra,5,Dino Sani,Midfielder,Midfield,78,false
1958,Brazil,bra,13,Moacir,Midfielder,Midfield,75,false
1958,Brazil,bra,10,Pelé,Centre-forward,Attack,93,true
1958,Brazil,bra,11,Garrincha,Right winger,Attack,91,true
1958,Brazil,bra,20,Vavá,Centre-forward,Attack,85,true
1958,Brazil,bra,7,Zagallo,Left winger,Attack,84,true
1958,Brazil,bra,18,Altafini,Centre-forward,Attack,82,false
1958,Brazil,bra,22,Pepe,Left winger,Attack,82,false
1958,Brazil,bra,17,Joel,Right winger,Attack,76,false
1958,Brazil,bra,21,Dida,Centre-forward,Attack,75,false
1958,Germany,ger,1,Herkenrath,Goalkeeper,Goalkeepers,79,false
1958,Germany,ger,22,Kwiatkowski,Goalkeeper,Goalkeepers,73,false
1958,Germany,ger,2,Erhardt,Centre-back,Defence,79,false
1958,Germany,ger,3,Juskowiak,Left-back,Defence,78,false
1958,Germany,ger,17,Schnellinger,Left-back,Defence,78,true
1958,Germany,ger,7,Stollenwerk,Right-back,Defence,77,false
1958,Germany,ger,5,Wewers,Centre-back,Defence,76,false
1958,Germany,ger,9,F. Walter,Midfielder,Midfield,88,true
1958,Germany,ger,11,Schäfer,Left midfielder,Midfield,84,true
1958,Germany,ger,4,Eckel,Right midfielder,Midfield,81,true
1958,Germany,ger,6,Szymaniak,Defensive midfielder,Midfield,81,false
1958,Germany,ger,10,Schmidt,Defensive midfielder,Midfield,75,false
1958,Germany,ger,8,Rahn,Right winger,Attack,87,true
1958,Germany,ger,12,Seeler,Centre-forward,Attack,82,true
1958,Germany,ger,13,Klodt,Right winger,Attack,76,false
1958,Germany,ger,15,Kelbassa,Centre-forward,Attack,74,false
1958,Germany,ger,14,Cieslarczyk,Centre-forward,Attack,73,false
1958,Germany,ger,16,Sturm,Right winger,Attack,72,false
1958,England,eng,1,McDonald,Goalkeeper,Goalkeepers,78,false
1958,England,eng,12,Hopkinson,Goalkeeper,Goalkeepers,75,false
1958,England,eng,13,Hodgkinson,Goalkeeper,Goalkeepers,73,false
1958,England,eng,5,Wright,Centre-back,Defence,88,true
1958,England,eng,2,Howe,Right-back,Defence,78,false
1958,England,eng,3,Banks,Left-back,Defence,76,false
1958,England,eng,16,Norman,Centre-back,Defence,76,false
1958,England,eng,14,Sillett,Right-back,Defence,74,false
1958,England,eng,10,Haynes,Midfielder,Midfield,86,true
1958,England,eng,20,Charlton,Attacking midfielder,Midfield,82,true
1958,England,eng,8,Robson,Attacking midfielder,Midfield,79,true
1958,England,eng,6,Slater,Defensive midfielder,Midfield,78,false
1958,England,eng,4,Clamp,Defensive midfielder,Midfield,76,false
1958,England,eng,15,Clayton,Defensive midfielder,Midfield,76,false
1958,England,eng,18,Broadbent,Midfielder,Midfield,76,false
1958,England,eng,22,Setters,Defensive midfielder,Midfield,72,false
1958,England,eng,11,Finney,Left winger,Attack,90,true
1958,England,eng,7,Douglas,Right winger,Attack,80,false
1958,England,eng,9,Kevan,Centre-forward,Attack,78,false
1958,England,eng,19,Smith,Centre-forward,Attack,77,false
1958,England,eng,17,Brabrook,Right winger,Attack,74,false
1958,England,eng,21,A'Court,Left winger,Attack,74,false
1958,France,fra,3,Remetter,Goalkeeper,Goalkeepers,78,false
1958,France,fra,1,Abbès,Goalkeeper,Goalkeepers,76,false
1958,France,fra,2,Colonna,Goalkeeper,Goalkeepers,76,false
1958,France,fra,6,Marche,Left-back,Defence,82,true
1958,France,fra,4,Kaelbel,Centre-back,Defence,80,false
1958,France,fra,5,Lerond,Centre-back,Defence,78,false
1958,France,fra,7,Mouynet,Centre-back,Defence,70,false
1958,France,fra,18,Kopa,Attacking midfielder,Midfield,92,true
1958,France,fra,10,Jonquet,Defensive midfielder,Midfield,85,true
1958,France,fra,20,Piantoni,Left midfielder,Midfield,85,true
1958,France,fra,12,Marcel,Right midfielder,Midfield,81,false
1958,France,fra,13,Penverne,Defensive midfielder,Midfield,81,false
1958,France,fra,21,Vincent,Left midfielder,Midfield,81,false
1958,France,fra,19,Oliver,Attacking midfielder,Midfield,73,false
1958,France,fra,8,Chiarelli,Right midfielder,Midfield,71,false
1958,France,fra,11,Lafont,Defensive midfielder,Midfield,71,false
1958,France,fra,9,Hnatow,Defensive midfielder,Midfield,70,false
1958,France,fra,14,Bellot,Right midfielder,Midfield,70,false
1958,France,fra,17,Fontaine,Centre-forward,Attack,94,true
1958,France,fra,16,Douis,Centre-forward,Attack,78,false
1958,France,fra,22,Wisnieski,Right winger,Attack,77,false
1958,France,fra,15,Bruey,Centre-forward,Attack,73,false
1958,Sweden,swe,1,Svensson,Goalkeeper,Goalkeepers,84,true
1958,Sweden,swe,12,T. Svensson,Goalkeeper,Goalkeepers,71,false
1958,Sweden,swe,16,Haraldsson,Goalkeeper,Goalkeepers,70,false
1958,Sweden,swe,2,Bergmark,Right-back,Defence,84,true
1958,Sweden,swe,14,Gustavsson,Centre-back,Defence,84,true
1958,Sweden,swe,3,Axbom,Left-back,Defence,78,false
1958,Sweden,swe,5,Å. Johansson,Centre-back,Defence,76,false
1958,Sweden,swe,13,Öberg,Centre-back,Defence,72,false
1958,Sweden,swe,4,Liedholm,Midfielder,Midfield,90,true
1958,Sweden,swe,8,Gren,Attacking midfielder,Midfield,87,true
1958,Sweden,swe,6,Parling,Right midfielder,Midfield,80,false
1958,Sweden,swe,15,Börjesson,Right midfielder,Midfield,73,false
1958,Sweden,swe,17,Håkansson,Midfielder,Midfield,73,false
1958,Sweden,swe,7,Hamrin,Right winger,Attack,89,true
1958,Sweden,swe,11,Skoglund,Left winger,Attack,86,true
1958,Sweden,swe,9,Simonsson,Centre-forward,Attack,82,false
1958,Sweden,swe,10,Selmosson,Centre-forward,Attack,78,false
1958,Sweden,swe,21,Berndtsson,Right winger,Attack,74,false
1958,Sweden,swe,18,Löfgren,Centre-forward,Attack,72,false
1958,Sweden,swe,19,Källgren,Centre-forward,Attack,72,false
1958,Sweden,swe,20,Mellberg,Centre-forward,Attack,71,false
1958,Sweden,swe,22,Ohlsson,Right winger,Attack,70,false
1958,Soviet Union,urs,1,Yashin,Goalkeeper,Goalkeepers,99,true
1958,Soviet Union,urs,12,Maslachenko,Goalkeeper,Goalkeepers,75,false
1958,Soviet Union,urs,13,Belyayev,Goalkeeper,Goalkeepers,72,false
1958,Soviet Union,urs,4,Kuznetsov,Left-back,Defence,79,false
1958,Soviet Union,urs,2,Kesarev,Right-back,Defence,78,false
1958,Soviet Union,urs,14,Ostrovskiy,Left-back,Defence,73,false
1958,Soviet Union,urs,22,Yerokhin,Centre-back,Defence,71,false
1958,Soviet Union,urs,6,Netto,Defensive midfielder,Midfield,88,true
1958,Soviet Union,urs,8,V. Ivanov,Attacking midfielder,Midfield,86,true
