year;team;name;position;rating;rating_ext;diff;is_collectible;is_legend
1990;GER;Lothar Matthäus;CM;90;96;6;true;true
1990;ITA;Franco Baresi;CB;88;94;6;false;true
1990;GER;Andreas Brehme;LB;85;91;6;false;true
2002;GER;Michael Ballack;CM;85;91;6;false;true
1990;ITA;Roberto Baggio;AM;84;90;6;false;true
1990;NED;Ronald Koeman;CB;84;90;6;false;false
1990;YUG;Dragan Stojković;AM;84;90;6;false;false
2002;FRA;Patrick Vieira;CM;84;90;6;false;true
1994;ARG;Fernando Redondo;DM;83;89;6;false;false
1990;BRA;Cláudio Taffarel;GK;82;88;6;false;true
1990;ITA;Walter Zenga;GK;82;88;6;false;false
2002;ARG;Javier Zanetti;RB;82;88;6;false;true
2010;KOR;Park Ji-sung;RM;82;88;6;false;true
2014;CRC;Keylor Navas;GK;82;88;6;false;true
1994;GER;Matthias Sammer;CM;81;87;6;false;true
2010;CHI;Alexis Sánchez;RW;81;87;6;false;true
2022;CRO;Dominik Livaković;GK;81;87;6;false;false
1990;YUG;Robert Prosinečki;CM;80;86;6;false;false
1994;GER;Andreas Brehme;LB;80;86;6;false;false
1994;NGA;Jay-Jay Okocha;AM;79;85;6;false;true
1990;COL;René Higuita;GK;78;84;6;false;true
2002;ARG;Ariel Ortega;AM;78;84;6;false;false
2002;DEN;Martin Laursen;CB;77;83;6;false;false
2014;URU;Diego Forlán;ST;77;83;6;false;false
1990;GER;Andreas Möller;AM;76;82;6;false;false
1994;NED;Ed de Goey;GK;76;82;6;false;false
1994;NED;Bryan Roy;LW;76;82;6;false;false
2002;CMR;Rigobert Song;CB;76;82;6;false;false
1990;ARG;Sergio Batista;DM;74;80;6;false;false
1990;COL;Arnoldo Iguarán;ST;74;80;6;false;false
1990;GER;Uwe Bein;AM;74;80;6;false;false
1990;NED;Adri van Tiggelen;LB;74;80;6;false;false
1990;NED;Wim Kieft;ST;74;80;6;false;false
1990;ROU;Ilie Dumitrescu;RW;74;80;6;false;false
1990;YUG;Zlatko Vujović;LW;74;80;6;false;false
2002;ARG;Marcelo Gallardo;AM;74;80;6;false;false
2002;JPN;Yoshikatsu Kawaguchi;GK;74;80;6;false;true
2002;NGA;Joseph Yobo;CB;74;80;6;false;false
2010;KOR;Ahn Jung-hwan;ST;74;80;6;false;true
2018;MAR;Mbark Boussoufa;AM;74;80;6;false;true
2018;RUS;Denis Cheryshev;LW;74;80;6;false;false
2022;CRO;Borna Sosa;LB;74;80;6;false;false
2002;ENG;Robbie Fowler;ST;73;79;6;false;false
2002;NGA;Mutiu Adepoju;CM;73;79;6;false;false
2002;NGA;Garba Lawal;LM;73;79;6;false;false
2018;MAR;Fayçal Fajr;CM;73;79;6;false;false
2022;AUS;Jackson Irvine;CM;73;79;6;false;false
1990;BRA;Renato Gaúcho;RW;72;78;6;false;false
1990;YUG;Robert Jarni;LB;72;78;6;false;false
2010;BRA;Gilberto;LB;72;78;6;false;false
2014;GHA;Mubarak Wakaso;LM;72;78;6;false;false
2022;CRC;Óscar Duarte;CB;72;78;6;false;false
2022;SRB;Vanja Milinković-Savić;GK;72;78;6;false;false
1990;ROU;Dănuț Lupu;AM;70;76;6;false;false
1990;YUG;Zoran Vulić;CB;70;76;6;false;false
1994;NED;Ulrich van Gobbel;RB;70;76;6;false;false
2002;ARG;Gustavo López;LM;70;76;6;false;false
2002;IRL;Mark Kinsella;CM;70;76;6;false;false
2006;SUI;Diego Benaglio;GK;70;76;6;false;false
2010;ARG;Mariano Andújar;GK;70;76;6;false;false
2018;KOR;Kim Shin-wook;ST;70;76;6;false;false
2022;CRC;Bryan Oviedo;LB;70;76;6;false;false
2006;CIV;Boubacar Barry;GK;69;75;6;false;false
1994;MEX;Raúl Gutiérrez;CB;68;74;6;false;false
2002;IRL;Dean Kiely;GK;68;74;6;false;false
2002;IRL;Andy O'Brien;CB;68;74;6;false;false
2002;MEX;Rafael García;CM;68;74;6;false;false
2002;POR;Beto;CB;68;74;6;false;false
2014;ALG;Cédric Si Mohamed;GK;67;73;6;false;false
2014;GRE;Stefanos Kapino;GK;67;73;6;false;false
1990;COL;José Ricardo Pérez;CB;66;72;6;false;false
1990;COL;Carlos Estrada;ST;66;72;6;false;false
1990;NED;Henk Fraser;CB;66;72;6;false;false
1990;ROU;Adrian Popescu;CB;66;72;6;false;false
1994;ARG;Jorge Borelli;CB;66;72;6;false;false
1994;COL;Óscar Cortés;RM;66;72;6;false;false
1994;ROU;Iulian Chiriță;CM;66;72;6;false;false
1994;ROU;Ion Vlădoiu;ST;66;72;6;false;false
1994;SWE;Mikael Nilsson;CB;66;72;6;false;false
2002;CMR;Alioum Boukar;GK;66;72;6;false;false
2002;MEX;Sigifredo Mercado;CM;66;72;6;false;false
2022;SEN;Moussa N'Diaye;LB;66;72;6;false;false
2002;MEX;Alberto Rodríguez;CB;65;71;6;false;false
1990;CMR;Bonaventure Djonkep;LW;64;70;6;false;false
1990;COL;Luis Fajardo;CM;64;70;6;false;false
2002;FRA;Zinedine Zidane;AM;90;95;5;true;true
2002;GER;Oliver Kahn;GK;90;95;5;true;true
2006;ITA;Fabio Cannavaro;CB;90;95;5;true;true
1990;NED;Marco van Basten;ST;88;93;5;false;true
1990;NED;Ruud Gullit;AM;87;92;5;false;true
2010;URU;Diego Forlán;ST;87;92;5;false;true
2006;GER;Oliver Kahn;GK;86;91;5;false;true
2018;BRA;Alisson;GK;86;91;5;false;true
1990;BRA;Careca;ST;85;90;5;false;true
1994;NED;Ronald Koeman;CB;85;90;5;false;true
1990;BRA;Romário;ST;82;87;5;false;true
2002;FRA;Claude Makélélé;DM;82;87;5;false;false
1994;NED;Marc Overmars;LW;81;86;5;false;false
2010;CHI;Arturo Vidal;CM;81;86;5;false;false
1990;NED;Hans van Breukelen;GK;80;85;5;false;false
1994;COL;Freddy Rincón;CM;80;85;5;false;false
2010;BRA;Elano;RM;80;85;5;false;false
2014;GHA;Kwadwo Asamoah;LM;80;85;5;false;false
1994;BRA;Jorginho;RB;79;84;5;false;false
1994;GER;Stefan Effenberg;CM;79;84;5;false;false
1994;MEX;Luis García;ST;79;84;5;false;false
2014;GHA;Kevin-Prince Boateng;AM;79;84;5;false;false
2014;GHA;André Ayew;LW;79;84;5;false;false
1994;ARG;Ariel Ortega;AM;78;83;5;false;false
2002;CMR;Marc-Vivien Foé;DM;78;83;5;false;true
2002;CMR;Samuel Eto'o;ST;78;83;5;false;true
2002;CMR;Patrick Mboma;ST;78;83;5;false;false
2010;CHI;Jorge Valdivia;AM;78;83;5;false;false
2018;MAR;Achraf Hakimi;RB;78;83;5;false;false
1994;ARG;Roberto Sensini;CB;77;82;5;false;false
1994;NED;Wim Jonk;CM;77;82;5;false;false
2002;DEN;Dennis Rommedahl;RW;77;82;5;false;false
2010;ARG;Sergio Romero;GK;77;82;5;false;false
2010;CHI;Gary Medel;DM;77;82;5;false;false
2014;NED;Georginio Wijnaldum;CM;77;82;5;false;false
2014;URU;Egidio Arévalo Ríos;DM;77;82;5;false;false
2018;SWE;Marcus Berg;ST;77;82;5;false;false
2022;CRO;Nikola Vlašić;AM;77;82;5;false;false
1990;BRA;Carlos Mozer;CB;76;81;5;false;false
1990;COL;Andrés Escobar;CB;76;81;5;false;false
1994;GER;Thomas Berthold;RB;76;81;5;false;false
2002;MEX;Alberto García Aspe;CM;76;81;5;false;false
2022;AUS;Mathew Leckie;RW;76;81;5;false;false
2002;NGA;Celestine Babayaro;LB;75;80;5;false;false
2022;SEN;Pape Matar Sarr;CM;75;80;5;false;false
1990;BRA;Mazinho;DM;74;79;5;false;false
1990;BRA;Mauro Galvão;CB;74;79;5;false;false
1990;IRL;John Aldridge;ST;74;79;5;false;false
1990;NED;Berry van Aerle;RB;74;79;5;false;false
1990;NED;Gerald Vanenburg;RM;74;79;5;false;false
1994;MEX;Luís Roberto Alves;ST;74;79;5;false;false
2002;JPN;Alessandro Santos;LM;74;79;5;false;false
2002;MEX;Luis Hernández;ST;74;79;5;false;false
2006;POR;Miguel;RB;74;79;5;false;false
2010;GRE;Sokratis Papastathopoulos;CB;74;79;5;false;false
2022;AUS;Harry Souttar;CB;74;79;5;false;false
2006;ARG;Leo Franco;GK;73;78;5;false;false
2010;ARG;Martín Palermo;ST;73;78;5;false;false
1990;ARG;Abel Balbo;ST;72;77;5;false;false
1990;BRA;Bismarck;AM;72;77;5;false;false
1990;EGY;Rabie Yassin;CB;72;77;5;false;false
1990;IRL;David O'Leary;CB;72;77;5;false;false
1990;YUG;Refik Šabanadžović;DM;72;77;5;false;false
2002;MEX;Francisco Palencia;ST;72;77;5;false;false
2002;NGA;Ike Shorunmu;GK;72;77;5;false;false
2014;ALG;Aïssa Mandi;CB;72;77;5;false;false
2014;GHA;Emmanuel Agyemang-Badu;CM;72;77;5;false;false
2018;EGY;Mohamed El Shenawy;GK;72;77;5;false;false
2018;EGY;Tarek Hamed;DM;72;77;5;false;false
2010;GRE;Alexandros Tzorvas;GK;71;76;5;false;false
2014;ALG;Rafik Halliche;CB;71;76;5;false;false
2022;KOR;Na Sang-ho;RW;71;76;5;false;false
1990;EGY;Hesham Yakan;CB;70;75;5;false;false
1990;IRL;Chris Morris;RB;70;75;5;false;false
1990;ROU;Daniel Timofte;CM;70;75;5;false;false
1990;TCH;Vladimír Weiss;LM;70;75;5;false;false
1994;ARG;Leonardo Rodríguez;AM;70;75;5;false;false
1994;NED;John Bosman;ST;70;75;5;false;false
1994;ROU;Gheorghe Mihali;CB;70;75;5;false;false
1994;SWE;Pontus Kåmark;RB;70;75;5;false;false
2002;DEN;Brian Steen Nielsen;CM;70;75;5;false;false
2002;ENG;Wayne Bridge;LB;70;75;5;false;false
2002;IRL;Lee Carsley;DM;70;75;5;false;false
2006;ECU;Christian Benítez;ST;70;75;5;false;false
2014;ALG;Djamel Mesbah;LB;70;75;5;false;false
2018;EGY;Essam El Hadary;GK;70;75;5;false;false
2022;CRC;Keysher Fuller;RB;70;75;5;false;false
2010;GRE;Michalis Sifakis;GK;69;74;5;false;false
2014;ALG;Nabil Ghilas;ST;69;74;5;false;false
1990;ARG;Néstor Fabbri;CB;68;73;5;false;false
1990;EGY;Alaa Mayhoub;CM;68;73;5;false;false
1990;GER;Paul Steiner;CB;68;73;5;false;false
1990;ROU;Emil Săndoi;CB;68;73;5;false;false
1994;NGA;Samson Siasia;ST;68;73;5;false;false
2002;KOR;Choi Tae-uk;ST;68;73;5;false;false
2002;SEN;Amdy Faye;DM;68;73;5;false;false
2010;GRE;Stelios Malezas;CB;68;73;5;false;false
2010;KOR;Kang Min-soo;CB;68;73;5;false;false
2014;ALG;Mohamed Lamine Zemmamouche;GK;68;73;5;false;false
2014;CIV;Sylvain Gbohouo;GK;68;73;5;false;false
2014;CIV;Jean-Daniel Akpa Akpro;CB;68;73;5;false;false
2018;EGY;Amr Warda;AM;68;73;5;false;false
2022;KOR;Kim Tae-hwan;RB;68;73;5;false;false
2010;GRE;Sakis Prittas;CM;67;72;5;false;false
2018;EGY;Ayman Ashraf;LB;67;72;5;false;false
2018;EGY;Mahmoud Hamdy;CB;67;72;5;false;false
2018;EGY;Saad Samir;CB;67;72;5;false;false
1990;COL;Eduardo Niño;GK;66;71;5;false;false
1994;BUL;Georgi Georgiev;CM;66;71;5;false;false
1994;BUL;Ivaylo Andonov;ST;66;71;5;false;false
1994;MEX;Adrián Chávez;GK;66;71;5;false;false
1994;NGA;Michael Emenalo;LB;66;71;5;false;false
1994;NGA;Emeka Ezeugo;DM;66;71;5;false;false
1994;ROU;Corneliu Papură;CB;66;71;5;false;false
1994;ROU;Marian Ivan;AM;66;71;5;false;false
1994;SWE;Teddy Lučić;CB;66;71;5;false;false
2002;MEX;Johan Rodríguez;CM;66;71;5;false;false
2002;SEN;Souleymane Camara;ST;66;71;5;false;false
2014;CIV;Sayouba Mandé;GK;66;71;5;false;false
1994;BRA;Romário;ST;92;96;4;true;true
2006;FRA;Zinedine Zidane;AM;90;94;4;true;true
2018;FRA;Kylian Mbappé;RW;90;94;4;true;true
1990;ARG;Diego Maradona;AM;88;92;4;false;true
1998;DEN;Michael Laudrup;AM;88;92;4;false;true
1994;NED;Dennis Bergkamp;ST;87;91;4;false;true
1994;BRA;Bebeto;ST;86;90;4;false;false
1994;GER;Lothar Matthäus;CM;86;90;4;false;true
2006;ENG;Wayne Rooney;ST;86;90;4;false;true
2002;ITA;Francesco Totti;AM;85;89;4;false;true
2002;POR;Luís Figo;RW;85;89;4;false;true
1990;ENG;Paul Gascoigne;AM;84;88;4;false;true
1994;BRA;Dunga;DM;84;88;4;false;false
1998;GER;Lothar Matthäus;CB;84;88;4;false;true
2002;FRA;Fabien Barthez;GK;84;88;4;false;false
2002;FRA;Lilian Thuram;RB;84;88;4;false;false
2006;ARG;Carlos Tévez;ST;84;88;4;false;false
2002;FRA;Marcel Desailly;CB;83;87;4;false;false
2022;CRO;Joško Gvardiol;CB;83;87;4;false;false
1994;GER;Rudi Völler;ST;82;86;4;false;false
2002;ARG;Roberto Ayala;CB;82;86;4;false;false
2002;FRA;David Trezeguet;ST;82;86;4;false;false
2002;POR;Rui Costa;AM;82;86;4;false;true
2002;TUR;Hakan Şükür;ST;82;86;4;false;false
2006;ARG;Javier Mascherano;DM;82;86;4;false;false
2006;GER;Lukas Podolski;ST;82;86;4;false;false
2014;FRA;Paul Pogba;CM;82;86;4;false;false
2018;MAR;Hakim Ziyech;AM;82;86;4;false;false
2022;MAR;Sofyan Amrabat;DM;82;86;4;false;false
1994;ITA;Demetrio Albertini;CM;81;85;4;false;false
2002;ENG;Sol Campbell;CB;81;85;4;false;false
1990;ARG;Claudio Caniggia;ST;80;84;4;false;false
1990;ENG;Chris Waddle;LW;80;84;4;false;false
1990;ENG;John Barnes;LW;80;84;4;false;false
1990;ITA;Roberto Donadoni;LW;80;84;4;false;false
1990;ITA;Gianluca Vialli;ST;80;84;4;false;false
1990;YUG;Dejan Savićević;AM;80;84;4;false;false
1990;YUG;Darko Pančev;ST;80;84;4;false;false
1998;GER;Andreas Köpke;GK;80;84;4;false;false
2002;ARG;Walter Samuel;CB;80;84;4;false;false
2002;MEX;Jared Borgetti;ST;80;84;4;false;true
2006;ARG;Roberto Abbondanzieri;GK;80;84;4;false;false
2010;ARG;Juan Sebastián Verón;CM;80;84;4;false;false
2010;BRA;Thiago Silva;CB;80;84;4;false;false
2014;NED;Stefan de Vrij;CB;80;84;4;false;false
1994;ITA;Gianfranco Zola;AM;79;83;4;false;false
1994;MEX;Alberto García Aspe;CM;79;83;4;false;false
1994;NED;Aron Winter;CM;79;83;4;false;false
1994;NGA;Finidi George;RW;79;83;4;false;false
2002;ARG;Juan Pablo Sorín;LB;79;83;4;false;false
2002;FRA;Sylvain Wiltord;RW;79;83;4;false;false
2002;POR;Fernando Couto;CB;79;83;4;false;false
2010;GRE;Giorgos Karagounis;CM;79;83;4;false;true
2018;RUS;Aleksandr Golovin;AM;79;83;4;false;false
1990;BRA;Jorginho;RB;78;82;4;false;false
1990;GER;Karl-Heinz Riedle;ST;78;82;4;false;false
1990;ROU;Marius Lăcătuș;RW;78;82;4;false;false
1994;MEX;Ramón Ramírez;LM;78;82;4;false;false
1994;NED;Ronald de Boer;AM;78;82;4;false;false
1994;NGA;Daniel Amokachi;ST;78;82;4;false;false
2002;IRL;Shay Given;GK;78;82;4;false;false
2006;BRA;Júlio César;GK;78;82;4;false;false
2010;CHI;Mauricio Isla;RB;78;82;4;false;false
2010;ENG;Jamie Carragher;CB;78;82;4;false;false
2010;GRE;Giorgos Samaras;LW;78;82;4;false;false
2010;KOR;Lee Young-pyo;LB;78;82;4;false;true
2010;KOR;Park Chu-young;ST;78;82;4;false;false
2014;NED;Jasper Cillessen;GK;78;82;4;false;false
2014;URU;Diego Lugano;CB;78;82;4;false;false
2018;RUS;Igor Akinfeev;GK;78;82;4;false;false
2022;AUS;Mathew Ryan;GK;78;82;4;false;true
2022;SEN;Krépin Diatta;RW;78;82;4;false;false
2022;SEN;Boulaye Dia;ST;78;82;4;false;false
1994;ARG;José Chamot;LB;77;81;4;false;false
2002;POR;Jorge Costa;CB;77;81;4;false;false
1990;COL;Leonel Álvarez;DM;76;80;4;false;false
1990;ITA;Luigi De Agostini;LB;76;80;4;false;false
1990;ITA;Riccardo Ferri;CB;76;80;4;false;false
1990;YUG;Faruk Hadžibegić;CB;76;80;4;false;false
1990;YUG;Srećko Katanec;CM;76;80;4;false;false
2002;ENG;Gareth Southgate;CB;76;80;4;false;false
2002;POR;Paulo Sousa;DM;76;80;4;false;false
2002;POR;João Pinto;AM;76;80;4;false;false
2014;ALG;Raïs M'Bolhi;GK;76;80;4;false;false
2014;NED;Memphis Depay;LW;76;80;4;false;false
2018;JPN;Makoto Hasebe;DM;76;80;4;false;false
2018;MAR;Yassine Bounou;GK;76;80;4;false;false
2018;RUS;Artem Dzyuba;ST;76;80;4;false;false
2018;JPN;Gaku Shibasaki;CM;75;79;4;false;false
2022;SEN;Iliman Ndiaye;AM;75;79;4;false;false
1990;BRA;Ricardo Rocha;CB;74;78;4;false;false
1990;COL;Luis Carlos Perea;CB;74;78;4;false;false
1990;EGY;Magdi Abdelghani;CM;74;78;4;false;false
1990;IRL;Steve Staunton;LB;74;78;4;false;false
1990;IRL;Mick McCarthy;CB;74;78;4;false;false
1990;IRL;Kevin Moran;CB;74;78;4;false;false
1990;IRL;Kevin Sheedy;LM;74;78;4;false;false
1990;IRL;Niall Quinn;ST;74;78;4;false;false
1990;ITA;Stefano Tacconi;GK;74;78;4;false;false
1990;ROU;Silviu Lung;GK;74;78;4;false;false
1990;ROU;Dorin Mateuț;RW;74;78;4;false;false
1990;YUG;Tomislav Ivković;GK;74;78;4;false;false
1994;GER;Thomas Strunz;RB;74;78;4;false;false
1994;MEX;Ignacio Ambríz;DM;74;78;4;false;false
2002;ARG;Matías Almeyda;DM;74;78;4;false;false
2002;ENG;Martin Keown;CB;74;78;4;false;false
2002;IRL;Steve Staunton;CB;74;78;4;false;false
2002;JPN;Masashi Nakayama;ST;74;78;4;false;false
2010;KOR;Jung Sung-ryong;GK;74;78;4;false;false
2014;ALG;Nabil Bentaleb;CM;74;78;4;false;false
2014;ALG;Hillal Soudani;ST;74;78;4;false;false
2014;MEX;José de Jesús Corona;GK;74;78;4;false;false
2014;MEX;Raúl Jiménez;ST;74;78;4;false;false
2014;SUI;Fabian Schär;CB;74;78;4;false;false
2014;URU;Diego Pérez;DM;74;78;4;false;false
2018;ENG;Trent Alexander-Arnold;RB;74;78;4;false;false
2018;JPN;Genki Haraguchi;RM;74;78;4;false;false
2018;RUS;Yuri Zhirkov;LB;74;78;4;false;false
2022;SEN;Nicolas Jackson;ST;74;78;4;false;false
2022;SEN;Famara Diédhiou;ST;74;78;4;false;false
2006;ECU;Edwin Tenorio;DM;73;77;4;false;false
2014;MEX;José Juan Vázquez;DM;73;77;4;false;false
2018;KOR;Jo Hyeon-woo;GK;73;77;4;false;false
2018;RUS;Sergei Ignashevich;CB;73;77;4;false;false
2018;SWE;John Guidetti;ST;73;77;4;false;false
2022;CRC;Francisco Calvo;CB;73;77;4;false;false
1990;BRA;Tita;AM;72;76;4;false;false
1990;COL;Luis Fernando Herrera;RB;72;76;4;false;false
1990;EGY;Ismail Youssef;DM;72;76;4;false;false
1990;EGY;Taher Abouzeid;RW;72;76;4;false;false
1990;IRL;Tony Cascarino;ST;72;76;4;false;false
1990;NED;Bryan Roy;LW;72;76;4;false;false
2002;DEN;Christian Poulsen;DM;72;76;4;false;false
2002;ENG;Joe Cole;AM;72;76;4;false;false
2002;ENG;Kieron Dyer;CM;72;76;4;false;false
2002;ENG;Trevor Sinclair;LM;72;76;4;false;false
2002;IRL;Jason McAteer;RM;72;76;4;false;false
2002;JPN;Takayuki Suzuki;ST;72;76;4;false;false
2006;CIV;Emerse Faé;CM;72;76;4;false;false
2006;GER;Marcell Jansen;LB;72;76;4;false;false
2006;GER;David Odonkor;RM;72;76;4;false;false
2010;CHI;Fabián Orellana;RW;72;76;4;false;false
2010;KOR;Kim Dong-jin;LB;72;76;4;false;false
